Date,Predicted_Close
2023-03-28,5.6635084
2023-03-29,5.6313252
2023-03-30,5.658939
2023-03-31,5.6846976
2023-04-01,5.727991
2023-04-02,5.7800736
2023-04-03,5.7984233
2023-04-04,5.7975087
2023-04-05,5.792185
2023-04-06,5.793855
2023-04-07,5.786754
2023-04-08,5.8085775
2023-04-09,5.8392386
2023-04-10,5.865563
2023-04-11,5.957152
2023-04-12,6.0582743
2023-04-13,6.120259
2023-04-14,6.1703396
2023-04-15,6.2288723
2023-04-16,6.2952247
2023-04-17,6.359246
2023-04-18,6.3715425
2023-04-19,6.3777556
2023-04-20,6.2823534
2023-04-21,6.123973
2023-04-22,5.9072943
2023-04-23,5.7082233
2023-04-24,5.5455117
2023-04-25,5.4306006
2023-04-26,5.380397
2023-04-27,5.3604813
2023-04-28,5.386333
2023-04-29,5.4535995
2023-04-30,5.544258
2023-05-01,5.608797
2023-05-02,5.623707
2023-05-03,5.6041727
2023-05-04,5.5770645
2023-05-05,5.5360093
2023-05-06,5.495328
2023-05-07,5.426499
2023-05-08,5.350182
2023-05-09,5.200347
2023-05-10,5.0374045
2023-05-11,4.9039774
2023-05-12,4.7704587
2023-05-13,4.673002
2023-05-14,4.605249
2023-05-15,4.5775447
2023-05-16,4.5792627
2023-05-17,4.5916686
2023-05-18,4.628645
2023-05-19,4.658098
2023-05-20,4.683417
2023-05-21,4.703836
2023-05-22,4.695463
2023-05-23,4.677384
2023-05-24,4.6733
2023-05-25,4.6688566
2023-05-26,4.6567807
2023-05-27,4.6461225
2023-05-28,4.6448445
2023-05-29,4.678029
2023-05-30,4.7210956
2023-05-31,4.794538
2023-06-01,4.8490143
2023-06-02,4.883501
2023-06-03,4.9459004
2023-06-04,4.9934
2023-06-05,4.9918957
2023-06-06,4.8917913
2023-06-07,4.7809606
2023-06-08,4.639968
2023-06-09,4.500549
2023-06-10,4.3762975
2023-06-11,4.196256
2023-06-12,4.006497
2023-06-13,3.8595316
2023-06-14,3.7818944
2023-06-15,3.7443986
2023-06-16,3.7512734
2023-06-17,3.787865
2023-06-18,3.8380587
2023-06-19,3.8827944
2023-06-20,3.9168413
2023-06-21,3.954384
2023-06-22,4.0102863
2023-06-23,4.065337
2023-06-24,4.12856
2023-06-25,4.167331
2023-06-26,4.2164116
2023-06-27,4.235616
2023-06-28,4.2445536
2023-06-29,4.204471
2023-06-30,4.1534786
2023-07-01,4.123112
2023-07-02,4.1337795
2023-07-03,4.168266
2023-07-04,4.311796
2023-07-05,4.4638934
2023-07-06,4.6047344
2023-07-07,4.669635
2023-07-08,4.6910048
2023-07-09,4.673209
2023-07-10,4.634718
2023-07-11,4.58794
2023-07-12,4.5406575
2023-07-13,4.492414
2023-07-14,4.5264635
2023-07-15,4.560546
2023-07-16,4.589699
2023-07-17,4.598018
2023-07-18,4.592526
2023-07-19,4.5678935
2023-07-20,4.534327
2023-07-21,4.5295916
2023-07-22,4.5482965
2023-07-23,4.5736346
2023-07-24,4.617839
2023-07-25,4.657447
2023-07-26,4.6689134
2023-07-27,4.650363
2023-07-28,4.6327987
2023-07-29,4.614722
2023-07-30,4.6027474
2023-07-31,4.579386
2023-08-01,4.5445356
2023-08-02,4.512564
2023-08-03,4.4854765
2023-08-04,4.4405723
2023-08-05,4.390623
2023-08-06,4.348069
2023-08-07,4.325898
2023-08-08,4.3108993
2023-08-09,4.309859
2023-08-10,4.3176646
2023-08-11,4.326908
2023-08-12,4.3308105
2023-08-13,4.3336735
2023-08-14,4.3302665
2023-08-15,4.320562
2023-08-16,4.2726727
2023-08-17,4.191249
2023-08-18,4.0593963
2023-08-19,3.9299526
2023-08-20,3.834027
2023-08-21,3.7738144
2023-08-22,3.7216454
2023-08-23,3.679603
2023-08-24,3.6590853
2023-08-25,3.630714
2023-08-26,3.592838
2023-08-27,3.5594358
2023-08-28,3.5418932
2023-08-29,3.5482523
2023-08-30,3.5841525
2023-08-31,3.6183906
2023-09-01,3.613984
2023-09-02,3.580676
2023-09-03,3.5380428
2023-09-04,3.4936228
2023-09-05,3.456505
2023-09-06,3.4399471
2023-09-07,3.439224
2023-09-08,3.4501872
2023-09-09,3.4605792
2023-09-10,3.4711623
2023-09-11,3.4597166
2023-09-12,3.4237316
2023-09-13,3.3888412
2023-09-14,3.3743844
2023-09-15,3.3823867
2023-09-16,3.4233756
2023-09-17,3.4705389
2023-09-18,3.5153136
2023-09-19,3.5498173
2023-09-20,3.5784397
2023-09-21,3.5972395
2023-09-22,3.58435
2023-09-23,3.556582
2023-09-24,3.5272498
2023-09-25,3.4970112
2023-09-26,3.4716246
2023-09-27,3.4471164
2023-09-28,3.4333963
2023-09-29,3.4438322
2023-09-30,3.4715433
2023-10-01,3.507564
2023-10-02,3.5587523
2023-10-03,3.5905561
2023-10-04,3.6010976
2023-10-05,3.5982285
2023-10-06,3.5794451
2023-10-07,3.5668705
2023-10-08,3.5772138
2023-10-09,3.5912297
2023-10-10,3.5792365
2023-10-11,3.5487344
2023-10-12,3.5094047
2023-10-13,3.4768102
2023-10-14,3.4534717
2023-10-15,3.4406557
2023-10-16,3.4376726
2023-10-17,3.4458957
2023-10-18,3.4524784
2023-10-19,3.451522
2023-10-20,3.4491005
2023-10-21,3.4493947
2023-10-22,3.4709895
2023-10-23,3.5130758
2023-10-24,3.6285172
